C�digoMesa,NombreRecinto,Sigla,AP,APB-SUMATE,FP,LIBRE,LYP-ADN,MAS-IPSP,PDC,UNIDAD,VotoNulo,VotoBlanco,VotoValido
1076.25040,Unidad Educativa Mayor Rocha (Yacanahuyo,PDC,99,97,19,97,18,17,258,38,327,46,643
1076.25041,Sede Sindical Thaco,PDC,98,37,3,29,11,10,130,19,344,43,337
1076.25042,Liceo Josefa M. Gandarillas (Ex Sucre),PDC,350,510,42,572,35,59,1124,196,1161,95,2888
1076.25043,Unidad Educativa Tambillo Chico,PDC,44,13,13,27,4,6,84,7,211,25,198
1076.26456,U. E. 18 de Mayo,PDC,69,41,10,113,21,13,270,26,325,20,563
1076.26458,U. E. Libertador Simón Bolívar,PDC,5,10,1,23,1,1,33,7,40,2,81
1078.1405,U. E. Rene Barrientos O.   La Villa,PDC,57,19,13,11,13,8,77,6,221,18,204
1078.1406,Unidad Educativa Molle Huma,PDC,73,22,15,11,5,10,76,3,445,71,215
1079.1406,Escuela Gualberto Villarroel (V. Rivero),PDC,94,60,18,84,15,27,916,50,579,83,1264
108.25762,U. E. Jancko Amaya  A,PDC,80,7,25,9,20,21,446,21,145,54,629
1080.1407,U. E. 27 de Mayo (Ex Jose B. Pereira),PDC,144,121,23,208,13,31,529,80,655,69,1149
1080.26457,U. E. José Braulio Pereira,PDC,115,119,13,142,22,49,363,80,445,48,903
1083.1411,Colegio Simon Bolivar (Huaricaya),PDC,95,87,14,95,16,32,291,39,285,27,669
1084.1410,Unidad Educativa Sunchu Pampa,PDC,112,34,16,32,12,15,233,30,317,28,484
1085.1412,Unidad Educativa Tacachi,PDC,43,37,4,51,2,6,259,13,212,26,415
1086.1413,Escuela Cuchu Muela,PDC,54,44,9,19,6,17,170,9,255,29,328
1087.1414,Nucleo Escolar Yana Rumi,AP,15,3,1,0,0,2,13,1,181,7,35
1088.1501,U.E. Simón Bolivar,PDC,121,37,11,33,10,5,134,6,360,42,357
1089.1502,U.E. San Juan de La Comuna,AP,18,6,4,1,2,2,4,3,52,5,40
109.2415,Unidad Educativa Compi,PDC,64,17,22,18,4,15,329,16,192,31,485
1090.1503,U.E. Challoma,AP,21,1,0,2,2,1,15,0,101,5,42
1091.1504,Escuela Vilacayma,AP,97,4,10,5,5,12,49,0,135,14,182
1092.1505,Escuela Coyuma,AP,18,3,0,2,3,0,8,0,44,19,34
1093.1506,U.E. Mejillones de Villa Victoria,AP,57,6,4,7,6,8,40,1,193,24,129
1095.1508,U.E. Carpani,AP,83,9,5,4,7,7,52,3,192,24,170
1096.1509,U.E. Yarvicoya,AP,62,5,3,0,1,2,37,0,151,14,110
1097.1510,U.E. Tangaleque,AP,77,1,10,5,3,0,22,3,101,10,121
1098.1511,U.E. Vilapampa,PDC,15,11,3,3,1,8,43,3,121,18,87
1099.1601,Colegio Juan Jose Carrasco,PDC,425,110,63,75,40,83,576,40,2359,231,1412
1099.26455,U. E. Isabel Torrico Arnez,PDC,138,48,27,37,12,25,231,19,899,79,537
110.25757,U. E. Kalaque,PDC,94,12,19,13,12,9,246,19,179,53,424
1100.1603,Escuela Koari (Nucleo Esc. S. Bolivar),AP,79,6,20,6,4,9,30,3,611,30,157
1101.1604,Escuela Seccional Sacabambilla,AP,52,4,10,2,4,11,35,4,265,25,122
1104.1606,U.E. German Busch A,AP,411,70,37,63,17,25,337,47,3096,90,1007
1104.25312,U.E. Mcal.Sucre,PDC,127,11,7,24,12,3,161,12,871,28,357
1104.25895,U. E. Evo Morales Ayma,PDC,223,18,15,52,19,15,252,25,1294,52,619
1104.26472,U. E. German Busch B,PDC,112,34,6,27,5,8,162,18,867,29,372
1106.1607,U.E. Ibuelo,AP,266,50,19,69,22,36,191,48,1609,63,701
1107.1608,Unidad Educativa Palca T,PDC,8,5,9,3,1,1,21,2,55,10,50
1108.1609,Nucleo Escolar Iluri Grande,AP,88,5,6,4,4,18,57,1,381,35,183
111.2367,Escuela Watari,PDC,48,5,12,5,6,11,242,13,100,32,342
1113.14,U.E. Mons. Santisteban,UNIDAD,47,234,4,309,5,50,119,325,113,71,1093
1113.15,U.E. Bruno Racua,UNIDAD,34,222,9,223,7,45,112,285,154,30,937
1115.15,U.E. Villa Bella,LIBRE,32,101,4,265,4,34,102,123,127,35,665
1116.19,U.E. De Bolpebra,LIBRE,4,6,0,25,0,2,20,1,7,2,58
1118.20,U.E.  Genoveva Rios,LIBRE,13,79,2,83,3,1,20,23,19,7,224
1119.19,U.E. De Mukden,LIBRE,8,34,0,144,2,4,24,34,10,6,250
112.2441,Escuela Ajllata Grande,PDC,166,9,24,25,27,32,689,21,263,100,993
1125.23,U.E. Buena Vista,PDC,10,4,14,16,0,5,35,10,16,19,94
1126.25,U.E.  Km. 35 de Karamanu,LIBRE,43,34,3,107,1,10,55,12,35,16,265
1127.24,U.E.  Km. 60 de San Antonio,LIBRE,15,15,5,61,6,8,16,30,15,2,156
1129.26,U.E. Mapajo,LIBRE,9,3,2,29,1,9,11,8,15,3,72
113.25761,U. E. Pedro Domingo Murillo,PDC,57,7,5,15,9,13,217,17,71,24,340
1130.25572,U.E. Puerto Rico,PDC,40,27,2,73,7,14,144,49,65,29,356
1130.27,U.E. La Salle Pedro Villa Lobos,PDC,163,106,16,390,16,56,618,179,322,106,1544
1134.28,U.E.  German Busch,LIBRE,99,42,11,100,4,8,29,49,54,40,342
1136.29,U.E. Batraja,AP,77,17,12,28,4,7,66,22,41,33,233
114.2379,U. E. Warisata,PDC,196,20,22,31,18,58,613,28,429,129,986
1140.34,U.E.  12 de Abril,MAS-IPSP,33,25,2,17,3,95,35,51,9,10,261
1142.35,U.E.  6 de Junio,AP,32,14,2,5,1,0,3,19,16,8,76
1143.36,U.E. Filadelfia,LIBRE,40,74,6,132,5,25,91,85,91,18,458
1145.37,U.E. Villa Bella,APB-SUMATE,29,65,1,51,1,3,10,22,30,15,182
1146.38,U.E. Nueva Empresa,APB-SUMATE,59,71,5,55,3,2,29,16,62,22,240
1147.39,U.E. Buyuyo,LIBRE,27,15,0,81,3,4,33,8,23,6,171
1149.41,U.E. Chive,LIBRE,22,36,9,90,4,11,51,52,63,35,275
